name,description,centroid_lon,centroid_lat,bbox_west,bbox_south,bbox_east,bbox_north
SSMP/AR/2193,,-1.6770833332999997,6.3225,-1.6783333333,6.3208333333,-1.6758333333,6.3241666667
PL6/310 (Adubea),,-1.9397817460489797,6.40512566137139,-1.9541666667,6.3833333333,-1.925,6.425
SSMP/5/1347,,-0.8132196969801652,6.257159090876859,-0.815,6.2558333333,-0.8116666667,6.2583333333
WR/2142,,-1.6094453698593352,5.451531249619972,-1.6111111111,5.4502777778,-1.6077777778,5.4527833333333335
SSMP/2/2399,,-2.64666666665,5.744583333300001,-2.6483333333,5.7433333333,-2.645,5.7458333333
PL9/19,,-0.7495563161112172,10.727279498222696,-0.7883333333,10.6722222222,-0.7008333333,10.7872222222
MC/SSMP/CR/1208,,-2.01416666665,6.289583333299999,-2.0158333333,6.2883333333,-2.0125,6.2908333333
AR/1741,,-1.4920833332999999,5.88166666665,-1.4933333333,5.88,-1.4908333333,5.8833333333
CR/1021,,-1.99083333335,6.100555555572501,-1.9927777778,6.099444444445,-1.9888888889,6.1016666667
SSMP-3/563,,-1.99083333335,6.100555555572501,-1.9927777778,6.099444444445,-1.9888888889,6.1016666667
SSMP/WR/227,,-2.21145833331875,4.95437499996875,-2.2133333333,4.9533333333,-2.2091666667,4.9558333333
CR/240,,-1.5348455110997297,5.926599074758791,-1.5373277777777778,5.925283333333334,-1.5323611111,5.927919444444444
SSMP/5/1349,,-0.8134166666860001,6.260833333290001,-0.8141666667,6.2583333333,-0.8125,6.2633333333
SSMP/5/1353,,-0.83416666665,6.3004166667,-0.8358333333,6.2991666667,-0.8325,6.3016666667
ER/831,,-0.6679164931632784,6.348335416578591,-0.6691666667,6.3466666667,-0.6666666667,6.350002777777778
AR/369,,-1.9829161458020772,6.10166705252378,-1.9841666667,6.1,-1.981663888888889,6.1033333333
SSMP/AHR/14,,-0.8420833332999998,6.30833333335,-0.8433333333,6.3066666667,-0.8408333333,6.31
ER/1235,,-0.9987500000000001,6.434583333299999,-1.0,6.4333333333,-0.9975,6.4358333333
AR/2179,,-1.7576602564233725,6.090096153853253,-1.76,6.0891666667,-1.755,6.0916666667
NR/3,,-2.303583333338,8.932333333338002,-2.305,8.9308333333,-2.3025,8.9341666667
CR/1074,,-1.8179166667000002,6.00375,-1.8191666667,6.0025,-1.8166666667,6.005
SSMP/5/1352,,-0.82375,6.269999999999999,-0.825,6.2675,-0.8225,6.2725
ER/833,,-0.6704924242714876,6.3567803030049586,-0.6716666667,6.355,-0.6691666667,6.3583333333
SSMP/ER/100,,-0.7065661313809164,6.301471782259956,-0.708625,6.30005,-0.7045111111111111,6.302891666666667
ER/107,,-0.7100000000000001,6.302083333300001,-0.7116666667,6.3008333333,-0.7083333333,6.3033333333
CR/1033,,-1.6216666666500004,5.923752777794444,-1.6225,5.923338888888889,-1.6208333333,5.9241666667
SSMP-3/1046,,-1.6754660495679543,5.923893560429825,-1.6769611111111111,5.921763888888889,-1.6738027777777778,5.925988888888889
ER/650,,-0.5694444444611111,6.380694444436109,-0.5708333333,6.3783333333,-0.5666666667,6.3825
ER/942,,-0.5970833333000001,6.164166666650001,-0.5983333333,6.1625,-0.5958333333,6.1658333333
AR/1605,,-1.6726972222222225,5.9168574074074085,-1.6741694444444444,5.914172222222223,-1.6713777777777779,5.919183333333334
SSMP/WR/171,,-2.0089583333124996,5.2679166666875,-2.01,5.2666666667,-2.0083333333,5.2691666667
SSMP-LAYER/1313,,-2.4245833333125,6.8190277777625,-2.4275,6.8166666667,-2.4225,6.8208333333
WR/316,,-2.135442474473465,5.3933435848829445,-2.1388777777777777,5.390405555555556,-2.1320055555555557,5.396280555555555
SSMP-NIM-GH/1836,,-2.898125000025,5.805208333325,-2.8991666667,5.8033333333,-2.8966666667,5.8075
SSMP-3/1393,,-1.5813886167202407,5.791445773630173,-1.5823222222222222,5.789661111111111,-1.5804666666666667,5.793205555555556
CR/4444,,-1.5174863675105115,5.890135480364452,-1.519211111111111,5.888411111111111,-1.5157527777777777,5.891830555555556
ML2/56,,-2.380120716508564,6.296378504665506,-2.4041666667,6.25,-2.3583333333,6.3458333333
SSMP/5/2139,,-0.720250000024,6.451166666662,-0.7216666667,6.45,-0.7183333333,6.4525
SSMP/5/2140,,-0.6875000000000001,6.462083333300001,-0.6891666667,6.4608333333,-0.6858333333,6.4633333333
SSMP/6/2291,,-2.00375,6.326666666649999,-2.005,6.325,-2.0025,6.3283333333
MC/SSMP/6/2568,,-1.7379166667000001,6.155833333349999,-1.7391666667,6.1541666667,-1.7366666667,6.1575
SSMP/2/2395,,-2.1570833333,5.350000000000001,-2.1583333333,5.3483333333,-2.1558333333,5.3516666667
SSMP/5/2016,,-0.6879166667000002,6.2795833333,-0.6891666667,6.2783333333,-0.6866666667,6.2808333333
SSMP/5/1760,,-1.5283333333500002,5.9220833333,-1.53,5.9208333333,-1.5266666667,5.9233333333
MC./SSMP/6/2410,,-1.7570833333500002,6.274166666650001,-1.7591666667,6.2733333333,-1.755,6.275
PL6/21 (Esaase),,-1.9674479166901147,6.520192307690773,-2.0166666667,6.4916666667,-1.9166666667,6.5458333333
SSMP-NIM-6/1846,,-1.6121666666890002,6.435416666695,-1.6141666667,6.4341666667,-1.61,6.4366666667
MC./SSMP/3/1339,,-1.5705833333560002,5.553500000005999,-1.5716666667,5.5516666667,-1.5691666667,5.555
